Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.17271995544433594,78435,78435
1,2.8e-05,0.00014,0.18832182884216309,78435,78435
2,2.8e-05,0.00014,0.20394301414489746,78435,78435
3,2.8e-05,0.00014,0.20394277572631836,78435,78435
4,2.8e-05,0.00014,0.18831992149353027,78435,78435
5,2.8e-05,0.00014,0.18831229209899902,78435,78435
6,2.8e-05,0.00014,0.18832659721374512,78435,78435
7,2.8e-05,0.00014,0.20399022102355957,78435,78435
8,2.8e-05,0.00014,0.18885064125061035,78435,78435
9,2.8e-05,0.00014,0.2039341926574707,78435,78435
