Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,1.7568590641021729,872352,4499999
1,2.8e-05,0.00014,1.5414056777954102,872352,4499999
2,2.8e-05,0.00014,1.506767988204956,872352,4499999
3,2.8e-05,0.00014,1.5377216339111328,872352,4499999
4,2.8e-05,0.00014,1.4918081760406494,872352,4499999
5,2.8e-05,0.00014,1.5386607646942139,872352,4499999
6,2.8e-05,0.00014,1.585080623626709,872352,4499999
7,2.8e-05,0.00014,1.568990707397461,872352,4499999
8,2.8e-05,0.00014,1.552851676940918,872352,4499999
9,2.8e-05,0.00014,1.6330316066741943,872352,4499999
