Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.0,0.00014,0.18834590911865234,69729,-1
1,0.0,0.00014,0.17275118827819824,69729,-1
2,0.0,0.00014,0.17269539833068848,69729,-1
3,0.0,0.00014,0.17267608642578125,69729,-1
4,0.0,0.00014,0.17229604721069336,69729,-1
5,0.0,0.00014,0.1727125644683838,69729,-1
6,0.0,0.00014,0.17272257804870605,69729,-1
7,0.0,0.00014,0.1726970672607422,69729,-1
8,0.0,0.00014,0.14957356452941895,69729,-1
9,0.0,0.00014,0.15706825256347656,69729,-1
