Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,49.03129315376282,100000000,99999999
1,2.8e-05,0.00014,41.21789526939392,100000000,99999999
2,2.8e-05,0.00014,35.555774450302124,100000000,99999999
3,2.8e-05,0.00014,36.75649380683899,100000000,99999999
4,2.8e-05,0.00014,34.15762662887573,100000000,99999999
5,2.8e-05,0.00014,34.47891354560852,100000000,99999999
6,2.8e-05,0.00014,34.499462604522705,100000000,99999999
7,2.8e-05,0.00014,37.024681091308594,100000000,99999999
8,2.8e-05,0.00014,34.61540341377258,100000000,99999999
9,2.8e-05,0.00014,34.94833827018738,100000000,99999999
