Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.000432,0.000572,1.6470086574554443,1,1
1,2.4e-05,0.00014,1.74123215675354,1,1
2,2.4e-05,0.00014,1.7159700393676758,1,1
3,2.4e-05,0.00014,1.8193697929382324,1,1
4,2.4e-05,0.00014,1.741286277770996,1,1
5,2.4e-05,0.00014,1.7412147521972656,1,1
6,2.4e-05,0.00014,2.102029800415039,1,1
7,2.4e-05,0.00014,2.1181037425994873,1,1
8,2.4e-05,0.00014,2.228708028793335,1,1
9,2.4e-05,0.00014,2.0778119564056396,1,1
