Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,3.5937788486480713,9999999,9999999
1,2.8e-05,0.00014,3.544541358947754,9999999,9999999
2,2.8e-05,0.00014,3.564506769180298,9999999,9999999
3,2.8e-05,0.00014,3.638686418533325,9999999,9999999
4,2.8e-05,0.00014,3.4202120304107666,9999999,9999999
5,2.8e-05,0.00014,3.497558116912842,9999999,9999999
6,2.8e-05,0.00014,3.7517645359039307,9999999,9999999
7,2.8e-05,0.00014,3.6389825344085693,9999999,9999999
8,2.8e-05,0.00014,3.5769808292388916,9999999,9999999
9,2.8e-05,0.00014,3.6100826263427734,9999999,9999999
