Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.361041784286499,999999,999998
1,2.8e-05,0.00014,0.37666916847229004,999999,999998
2,2.8e-05,0.00014,0.38372278213500977,999999,999998
3,2.8e-05,0.00014,0.3606142997741699,999999,999998
4,2.8e-05,0.00014,0.40828514099121094,999999,999998
5,2.8e-05,0.00014,0.39226698875427246,999999,999998
6,2.8e-05,0.00014,0.3448934555053711,999999,999998
7,2.8e-05,0.00014,0.37662196159362793,999999,999998
8,2.8e-05,0.00014,0.39226818084716797,999999,999998
9,2.8e-05,0.00014,0.3444521427154541,999999,999998
