Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.0,0.00014,0.031249523162841797,74851,-1
1,0.0,0.00014,0.01562666893005371,74851,-1
2,0.0,0.00014,0.016036510467529297,74851,-1
3,0.0,0.00014,0.015645980834960938,74851,-1
4,0.0,0.00014,0.03123331069946289,74851,-1
5,0.0,0.00014,0.02513861656188965,74851,-1
6,0.0,0.00014,0.02266240119934082,74851,-1
7,0.0,0.00014,0.01563715934753418,74851,-1
8,0.0,0.00014,0.01562666893005371,74851,-1
9,0.0,0.00014,0.015623092651367188,74851,-1
