Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.00046,0.000572,0.031246662139892578,22915,59589
1,5.2e-05,0.00014,0.03126358985900879,22915,59589
2,5.2e-05,0.00014,0.03167533874511719,22915,59589
3,5.2e-05,0.00014,0.031247615814208984,22915,59589
4,5.2e-05,0.00014,0.03165245056152344,22915,59589
5,5.2e-05,0.00014,0.031265974044799805,22915,59589
6,5.2e-05,0.00014,0.044266462326049805,22915,59589
7,5.2e-05,0.00014,0.031295061111450195,22915,59589
8,5.2e-05,0.00014,0.03126120567321777,22915,59589
9,5.2e-05,0.00014,0.0316157341003418,22915,59589
