Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,32.252070903778076,14983,84998369
1,2.8e-05,0.00014,31.628642559051514,14983,84998369
2,2.8e-05,0.00014,31.98313856124878,14983,84998369
3,2.8e-05,0.00014,31.988661766052246,14983,84998369
4,2.8e-05,0.00014,32.081695556640625,14983,84998369
5,2.8e-05,0.00014,31.014314651489258,14983,84998369
6,2.8e-05,0.00014,31.51696228981018,14983,84998369
7,2.8e-05,0.00014,31.28114104270935,14983,84998369
8,2.8e-05,0.00014,31.75393772125244,14983,84998369
9,2.8e-05,0.00014,31.531089067459106,14983,84998369
