Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.000432,0.000572,1.5060009956359863,587361,0
1,2.4e-05,0.00014,1.5534143447875977,587361,0
2,2.4e-05,0.00014,1.5686016082763672,587361,0
3,2.4e-05,0.00014,1.5540342330932617,587361,0
4,2.4e-05,0.00014,1.7104671001434326,587361,0
5,2.4e-05,0.00014,1.6325578689575195,587361,0
6,2.4e-05,0.00014,1.5066440105438232,587361,0
7,2.4e-05,0.00014,1.5845928192138672,587361,0
8,2.4e-05,0.00014,1.7412426471710205,587361,0
9,2.4e-05,0.00014,1.7577204704284668,587361,0
