Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.0,0.00014,1.5879979133605957,31120,-1
1,0.0,0.00014,1.5024290084838867,31120,-1
2,0.0,0.00014,1.6783902645111084,31120,-1
3,0.0,0.00014,1.537505865097046,31120,-1
4,0.0,0.00014,1.522416591644287,31120,-1
5,0.0,0.00014,1.6011722087860107,31120,-1
6,0.0,0.00014,1.5685067176818848,31120,-1
7,0.0,0.00014,1.6631698608398438,31120,-1
8,0.0,0.00014,1.6004250049591064,31120,-1
9,0.0,0.00014,1.5759973526000977,31120,-1
