Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,3.4205739498138428,7344044,8999999
1,2.8e-05,0.00014,3.482876777648926,7344044,8999999
2,2.8e-05,0.00014,3.2321982383728027,7344044,8999999
3,2.8e-05,0.00014,3.231191396713257,7344044,8999999
4,2.8e-05,0.00014,3.293494462966919,7344044,8999999
5,2.8e-05,0.00014,3.3410375118255615,7344044,8999999
6,2.8e-05,0.00014,3.23400616645813,7344044,8999999
7,2.8e-05,0.00014,3.310244083404541,7344044,8999999
8,2.8e-05,0.00014,3.140186071395874,7344044,8999999
9,2.8e-05,0.00014,3.2971811294555664,7344044,8999999
