Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.000432,0.000572,0.0629110336303711,0,0
1,2.4e-05,0.00014,0.046874284744262695,0,0
2,2.4e-05,0.00014,0.03228044509887695,0,0
3,2.4e-05,0.00014,0.031243562698364258,0,0
4,2.4e-05,0.00014,0.04730391502380371,0,0
5,2.4e-05,0.00014,0.031299591064453125,0,0
6,2.4e-05,0.00014,0.0316462516784668,0,0
7,2.4e-05,0.00014,0.031293630599975586,0,0
8,2.4e-05,0.00014,0.031246662139892578,0,0
9,2.4e-05,0.00014,0.031642913818359375,0,0
