Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,2.1024975776672363,5000000,4999999
1,2.8e-05,0.00014,2.3500583171844482,5000000,4999999
2,2.8e-05,0.00014,2.4216208457946777,5000000,4999999
3,2.8e-05,0.00014,1.8667209148406982,5000000,4999999
4,2.8e-05,0.00014,1.7727837562561035,5000000,4999999
5,2.8e-05,0.00014,1.9820325374603271,5000000,4999999
6,2.8e-05,0.00014,4.319872856140137,5000000,4999999
7,2.8e-05,0.00014,2.912935972213745,5000000,4999999
8,2.8e-05,0.00014,2.1354002952575684,5000000,4999999
9,2.8e-05,0.00014,1.8157603740692139,5000000,4999999
