Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,3.4201314449310303,9999999,9999999
1,2.8e-05,0.00014,3.4522111415863037,9999999,9999999
2,2.8e-05,0.00014,3.406968832015991,9999999,9999999
3,2.8e-05,0.00014,3.3755249977111816,9999999,9999999
4,2.8e-05,0.00014,3.5448455810546875,9999999,9999999
5,2.8e-05,0.00014,3.4525156021118164,9999999,9999999
6,2.8e-05,0.00014,3.5947823524475098,9999999,9999999
7,2.8e-05,0.00014,3.6390249729156494,9999999,9999999
8,2.8e-05,0.00014,3.6239101886749268,9999999,9999999
9,2.8e-05,0.00014,3.561789035797119,9999999,9999999
