Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,1.6787431240081787,5000000,4999999
1,2.8e-05,0.00014,1.6784119606018066,5000000,4999999
2,2.8e-05,0.00014,1.6471483707427979,5000000,4999999
3,2.8e-05,0.00014,1.6626982688903809,5000000,4999999
4,2.8e-05,0.00014,1.6158418655395508,5000000,4999999
5,2.8e-05,0.00014,1.7095327377319336,5000000,4999999
6,2.8e-05,0.00014,1.7089917659759521,5000000,4999999
7,2.8e-05,0.00014,1.7424509525299072,5000000,4999999
8,2.8e-05,0.00014,1.7409541606903076,5000000,4999999
9,2.8e-05,0.00014,1.647026777267456,5000000,4999999
