Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.2824821472167969,5643,731677
1,2.8e-05,0.00014,0.2518136501312256,5643,731677
2,2.8e-05,0.00014,0.25083231925964355,5643,731677
3,2.8e-05,0.00014,0.26685285568237305,5643,731677
4,2.8e-05,0.00014,0.2824890613555908,5643,731677
5,2.8e-05,0.00014,0.23518824577331543,5643,731677
6,2.8e-05,0.00014,0.2668602466583252,5643,731677
7,2.8e-05,0.00014,0.28246355056762695,5643,731677
8,2.8e-05,0.00014,0.29759788513183594,5643,731677
9,2.8e-05,0.00014,0.25481176376342773,5643,731677
