Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.0,0.00014,3.5774357318878174,15421,-1
1,0.0,0.00014,3.547351121902466,15421,-1
2,0.0,0.00014,3.531444549560547,15421,-1
3,0.0,0.00014,3.64735746383667,15421,-1
4,0.0,0.00014,3.7198636531829834,15421,-1
5,0.0,0.00014,3.483114719390869,15421,-1
6,0.0,0.00014,3.6415276527404785,15421,-1
7,0.0,0.00014,3.610323667526245,15421,-1
8,0.0,0.00014,3.6636013984680176,15421,-1
9,0.0,0.00014,3.6731412410736084,15421,-1
