Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.03125286102294922,23054,89999
1,2.8e-05,0.00014,0.0377657413482666,23054,89999
2,2.8e-05,0.00014,0.03128170967102051,23054,89999
3,2.8e-05,0.00014,0.03124547004699707,23054,89999
4,2.8e-05,0.00014,0.03169822692871094,23054,89999
5,2.8e-05,0.00014,0.031271934509277344,23054,89999
6,2.8e-05,0.00014,0.031247854232788086,23054,89999
7,2.8e-05,0.00014,0.031656742095947266,23054,89999
8,2.8e-05,0.00014,0.031247377395629883,23054,89999
9,2.8e-05,0.00014,0.04076099395751953,23054,89999
