Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.16019511222839355,500000,499999
1,2.8e-05,0.00014,0.15706896781921387,500000,499999
2,2.8e-05,0.00014,0.18776893615722656,500000,499999
3,2.8e-05,0.00014,0.17278003692626953,500000,499999
4,2.8e-05,0.00014,0.17229151725769043,500000,499999
5,2.8e-05,0.00014,0.1726996898651123,500000,499999
6,2.8e-05,0.00014,0.17269253730773926,500000,499999
7,2.8e-05,0.00014,0.18675732612609863,500000,499999
8,2.8e-05,0.00014,0.1727278232574463,500000,499999
9,2.8e-05,0.00014,0.21964263916015625,500000,499999
