Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.0,0.00014,0.062395572662353516,7256,-1
1,0.0,0.00014,0.04689216613769531,7256,-1
2,0.0,0.00014,0.04727315902709961,7256,-1
3,0.0,0.00014,0.031212329864501953,7256,-1
4,0.0,0.00014,0.04838752746582031,7256,-1
5,0.0,0.00014,0.03126406669616699,7256,-1
6,0.0,0.00014,0.04838848114013672,7256,-1
7,0.0,0.00014,0.046892404556274414,7256,-1
8,0.0,0.00014,0.037764549255371094,7256,-1
9,0.0,0.00014,0.03126692771911621,7256,-1
