Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,3.153078317642212,22029,1604841
1,2.8e-05,0.00014,3.310624837875366,22029,1604841
2,2.8e-05,0.00014,3.277590751647949,22029,1604841
3,2.8e-05,0.00014,3.1994428634643555,22029,1604841
4,2.8e-05,0.00014,3.251873254776001,22029,1604841
5,2.8e-05,0.00014,3.357316017150879,22029,1604841
6,2.8e-05,0.00014,3.2159972190856934,22029,1604841
7,2.8e-05,0.00014,3.217648983001709,22029,1604841
8,2.8e-05,0.00014,3.280762195587158,22029,1604841
9,2.8e-05,0.00014,3.24819278717041,22029,1604841
