Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.03127288818359375,87660,35668
1,2.8e-05,0.00014,0.031245946884155273,87660,35668
2,2.8e-05,0.00014,0.03167462348937988,87660,35668
3,2.8e-05,0.00014,0.031243324279785156,87660,35668
4,2.8e-05,0.00014,0.03123950958251953,87660,35668
5,2.8e-05,0.00014,0.03166794776916504,87660,35668
6,2.8e-05,0.00014,0.046874046325683594,87660,35668
7,2.8e-05,0.00014,0.0316617488861084,87660,35668
8,2.8e-05,0.00014,0.03124237060546875,87660,35668
9,2.8e-05,0.00014,0.03124523162841797,87660,35668
