Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.000196,0.0,75362,75361
1,2.8e-05,0.000196,0.0,75362,75361
2,2.8e-05,0.000196,0.0,75362,75361
3,2.8e-05,0.000196,0.0,75362,75361
4,2.8e-05,0.000196,0.0,75362,75361
5,2.8e-05,0.000196,0.0,75362,75361
6,2.8e-05,0.000196,0.0,75362,75361
7,2.8e-05,0.000196,0.0,75362,75361
8,2.8e-05,0.000196,0.0,75362,75361
9,2.8e-05,0.000196,0.0,75362,75361
