Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.0,0.00014,0.01563858985900879,72572,-1
1,0.0,0.00014,0.015628337860107422,72572,-1
2,0.0,0.00014,0.016025781631469727,72572,-1
3,0.0,0.00014,0.01563739776611328,72572,-1
4,0.0,0.00014,0.01563739776611328,72572,-1
5,0.0,0.00014,0.01562952995300293,72572,-1
6,0.0,0.00014,0.016025543212890625,72572,-1
7,0.0,0.00014,0.015672922134399414,72572,-1
8,0.0,0.00014,0.01564955711364746,72572,-1
9,0.0,0.00014,0.015632152557373047,72572,-1
