Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.0,0.00014,3.485366106033325,27467,-1
1,0.0,0.00014,3.5605127811431885,27467,-1
2,0.0,0.00014,3.4048781394958496,27467,-1
3,0.0,0.00014,3.4821016788482666,27467,-1
4,0.0,0.00014,3.498932361602783,27467,-1
5,0.0,0.00014,3.5305581092834473,27467,-1
6,0.0,0.00014,3.5633182525634766,27467,-1
7,0.0,0.00014,3.495929718017578,27467,-1
8,0.0,0.00014,3.32936954498291,27467,-1
9,0.0,0.00014,3.4225127696990967,27467,-1
