Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.000492,0.000752,1807.72582960128784,41232,44999
1,5.2e-04,0.000288,1780.1710135936737,41232,44999
