Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.0,0.00014,0.031249046325683594,12957,-1
1,0.0,0.00014,0.03165030479431152,12957,-1
2,0.0,0.00014,0.0625,12957,-1
3,0.0,0.00014,0.03166460990905762,12957,-1
4,0.0,0.00014,0.03124833106994629,12957,-1
5,0.0,0.00014,0.03166079521179199,12957,-1
6,0.0,0.00014,0.03124547004699707,12957,-1
7,0.0,0.00014,0.031244277954101562,12957,-1
8,0.0,0.00014,0.031681060791015625,12957,-1
9,0.0,0.00014,0.0312504768371582,12957,-1
