Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.9411709308624268,872352,2354468
1,2.8e-05,0.00014,0.9259493350982666,872352,2354468
2,2.8e-05,0.00014,0.8308830261230469,872352,2354468
3,2.8e-05,0.00014,0.7845089435577393,872352,2354468
4,2.8e-05,0.00014,0.7844915390014648,872352,2354468
5,2.8e-05,0.00014,0.8312668800354004,872352,2354468
6,2.8e-05,0.00014,0.7845230102539062,872352,2354468
7,2.8e-05,0.00014,0.7846181392669678,872352,2354468
8,2.8e-05,0.00014,0.7849743366241455,872352,2354468
9,2.8e-05,0.00014,0.8001351356506348,872352,2354468
