Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.0312497615814209,46820,46819
1,2.8e-05,0.00014,0.015628814697265625,46820,46819
2,2.8e-05,0.00014,0.016030073165893555,46820,46819
3,2.8e-05,0.00014,0.015623092651367188,46820,46819
4,2.8e-05,0.00014,0.015624046325683594,46820,46819
5,2.8e-05,0.00014,0.015633821487426758,46820,46819
6,2.8e-05,0.00014,0.016034841537475586,46820,46819
7,2.8e-05,0.00014,0.015644550323486328,46820,46819
8,2.8e-05,0.00014,0.015643835067749023,46820,46819
9,2.8e-05,0.00014,0.015630245208740234,46820,46819
