Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,3.23224139213562,7344044,8999999
1,2.8e-05,0.00014,3.0594515800476074,7344044,8999999
2,2.8e-05,0.00014,3.074695587158203,7344044,8999999
3,2.8e-05,0.00014,3.060859203338623,7344044,8999999
4,2.8e-05,0.00014,2.9981210231781006,7344044,8999999
5,2.8e-05,0.00014,3.154200792312622,7344044,8999999
6,2.8e-05,0.00014,3.215104103088379,7344044,8999999
7,2.8e-05,0.00014,3.0589258670806885,7344044,8999999
8,2.8e-05,0.00014,3.0452067852020264,7344044,8999999
9,2.8e-05,0.00014,2.9987313747406006,7344044,8999999
