Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.2040402889251709,359255,449999
1,2.8e-05,0.00014,0.15708231925964355,359255,449999
2,2.8e-05,0.00014,0.1726980209350586,359255,449999
3,2.8e-05,0.00014,0.18831372261047363,359255,449999
4,2.8e-05,0.00014,0.1726841926574707,359255,449999
5,2.8e-05,0.00014,0.1722726821899414,359255,449999
6,2.8e-05,0.00014,0.17270684242248535,359255,449999
7,2.8e-05,0.00014,0.15706562995910645,359255,449999
8,2.8e-05,0.00014,0.18079257011413574,359255,449999
9,2.8e-05,0.00014,0.17232942581176758,359255,449999
