Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,33.94458246231079,30318,30318
1,2.8e-05,0.00014,51.718363761901855,30318,30318
2,2.8e-05,0.00014,59.878310203552246,30318,30318
3,2.8e-05,0.00014,34.13071012496948,30318,30318
4,2.8e-05,0.00014,33.67859148979187,30318,30318
5,2.8e-05,0.00014,33.884551763534546,30318,30318
6,2.8e-05,0.00014,35.16132164001465,30318,30318
7,2.8e-05,0.00014,35.052597522735596,30318,30318
8,2.8e-05,0.00014,34.37351846694946,30318,30318
9,2.8e-05,0.00014,35.390241622924805,30318,30318
