Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.020149707794189453,33871,33870
1,2.8e-05,0.00014,0.015650272369384766,33871,33870
2,2.8e-05,0.00014,0.015630006790161133,33871,33870
3,2.8e-05,0.00014,0.015624284744262695,33871,33870
4,2.8e-05,0.00014,0.016037702560424805,33871,33870
5,2.8e-05,0.00014,0.01564311981201172,33871,33870
6,2.8e-05,0.00014,0.01562666893005371,33871,33870
7,2.8e-05,0.00014,0.015643835067749023,33871,33870
8,2.8e-05,0.00014,0.019641399383544922,33871,33870
9,2.8e-05,0.00014,0.0156552791595459,33871,33870
