Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.000432,0.000572,0.013512849807739258,1,0
1,2.4e-05,0.00014,0.015630006790161133,1,0
2,2.4e-05,0.00014,0.015626192092895508,1,0
3,2.4e-05,0.00014,0.033270835876464844,1,0
4,2.4e-05,0.00014,0.01564645767211914,1,0
5,2.4e-05,0.00014,0.01562666893005371,1,0
6,2.4e-05,0.00014,0.015613317489624023,1,0
7,2.4e-05,0.00014,0.01562786102294922,1,0
8,2.4e-05,0.00014,0.03168845176696777,1,0
9,2.4e-05,0.00014,0.015625715255737305,1,0
