Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.00046,0.000572,0.015625,19408,32387
1,5.2e-05,0.00014,0.01563119888305664,19408,32387
2,5.2e-05,0.00014,0.015651702880859375,19408,32387
3,5.2e-05,0.00014,0.01602458953857422,19408,32387
4,5.2e-05,0.00014,0.03124523162841797,19408,32387
5,5.2e-05,0.00014,0.015625715255737305,19408,32387
6,5.2e-05,0.00014,0.015652894973754883,19408,32387
7,5.2e-05,0.00014,0.015653610229492188,19408,32387
8,5.2e-05,0.00014,0.015625953674316406,19408,32387
9,5.2e-05,0.00014,0.015630006790161133,19408,32387
