Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,36.53554916381836,100000000,99999999
1,2.8e-05,0.00014,37.13411545753479,100000000,99999999
2,2.8e-05,0.00014,34.862696170806885,100000000,99999999
3,2.8e-05,0.00014,39.43090867996216,100000000,99999999
4,2.8e-05,0.00014,37.20859909057617,100000000,99999999
5,2.8e-05,0.00014,35.133917570114136,100000000,99999999
6,2.8e-05,0.00014,35.768548250198364,100000000,99999999
7,2.8e-05,0.00014,35.825905084609985,100000000,99999999
8,2.8e-05,0.00014,34.87664866447449,100000000,99999999
9,2.8e-05,0.00014,34.52039337158203,100000000,99999999
