Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.3766911029815674,999999,999999
1,2.8e-05,0.00014,0.329700231552124,999999,999999
2,2.8e-05,0.00014,0.3925769329071045,999999,999999
3,2.8e-05,0.00014,0.3922727108001709,999999,999999
4,2.8e-05,0.00014,0.376615047454834,999999,999999
5,2.8e-05,0.00014,0.3917527198791504,999999,999999
6,2.8e-05,0.00014,0.3609912395477295,999999,999999
7,2.8e-05,0.00014,0.40789341926574707,999999,999999
8,2.8e-05,0.00014,0.34497785568237305,999999,999999
9,2.8e-05,0.00014,0.40779757499694824,999999,999999
