Algoritmos,Instância 100,Instância 200,Instância 1000,Instância 2000,Instância 5000,Instância 10000,Instância 50000,Instância 100000,Instância 500000,Instância 1000000,Instância 5000000,Instância 10000000,Instância 100000000
Busca Linear v1,9.44e-05,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999
Busca Linear v2,9.413333333333332e-05,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333
Busca Binária,0.00017733333333333335,0.00047666666666666663,0.00047666666666666663,0.0005294666666666666,0.0006350666666666666,0.0006878666666666665,0.0007934666666666668,0.0008462666666666668,0.0009518666666666667,0.0010046666666666667,0.0011630666666666667,0.0012158666666666667,0.0013742666666666668
Busca Quadrática,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Busca Ternária,2.2400000000000002e-05,0.00017386666666666667,0.00017386666666666667,0.00017386666666666667,0.00020186666666666665,0.00020186666666666665,0.00020186666666666665,0.00020186666666666665,0.00020186666666666665,0.00020186666666666665,0.00020186666666666665,0.00020186666666666665,0.00020186666666666665
Busca Cúbica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
