Algoritmos,Instância 100,Instância 200,Instância 1000,Instância 2000,Instância 5000,Instância 10000,Instância 50000,Instância 100000,Instância 500000,Instância 1000000,Instância 5000000,Instância 10000000,Instância 100000000
Busca Linear v1,9.440000000000002e-05,9.440000000000002e-05,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999,0.00015439999999999999
Busca Linear v2,9.413333333333335e-05,9.413333333333332e-05,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333,0.00015413333333333333
Busca Binária,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Busca Quadrática,0.00023,0.00023,0.000288,0.000228,0.000228,0.000228,0.00031800000000000003,0.00031800000000000003,0.000908,0.001258,0.000933,0.000608,0.0007080000000000001
Busca Ternária,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Busca Cúbica,0.00037600000000000003,0.00037600000000000003,0.00052,0.00052,0.000519,0.00052,0.00052,0.00112,0.0011324999999999998,0.002108,0.002138,0.005138,0.006137999999999999
