Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.00046,0.000572,31.74746036529541,58212016,55666258
1,5.2e-05,0.00014,31.0824556350708,58212016,55666258
2,5.2e-05,0.00014,30.911153554916382,58212016,55666258
3,5.2e-05,0.00014,31.074018478393555,58212016,55666258
4,5.2e-05,0.00014,30.992324829101562,58212016,55666258
5,5.2e-05,0.00014,31.654592514038086,58212016,55666258
6,5.2e-05,0.00014,32.26743221282959,58212016,55666258
7,5.2e-05,0.00014,32.860079765319824,58212016,55666258
8,5.2e-05,0.00014,30.97472643852234,58212016,55666258
9,5.2e-05,0.00014,31.934584379196167,58212016,55666258
