Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.0029954910278320312,1209,4499
1,2.8e-05,0.00014,0.002000093460083008,1209,4499
2,2.8e-05,0.00014,0.002038717269897461,1209,4499
3,2.8e-05,0.00014,0.006037473678588867,1209,4499
4,2.8e-05,0.00014,0.0030431747436523438,1209,4499
5,2.8e-05,0.00014,0.002025604248046875,1209,4499
6,2.8e-05,0.00014,0.0039997100830078125,1209,4499
7,2.8e-05,0.00014,0.00202178955078125,1209,4499
8,2.8e-05,0.00014,0.0040323734283447266,1209,4499
9,2.8e-05,0.00014,0.0016856193542480469,1209,4499
