Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.000432,0.000572,0.39177632331848145,0,0
1,2.4e-05,0.00014,0.37662744522094727,0,0
2,2.4e-05,0.00014,0.3609902858734131,0,0
3,2.4e-05,0.00014,0.32934093475341797,0,0
4,2.4e-05,0.00014,0.32975172996520996,0,0
5,2.4e-05,0.00014,0.39189934730529785,0,0
6,2.4e-05,0.00014,0.4078938961029053,0,0
7,2.4e-05,0.00014,0.3605949878692627,0,0
8,2.4e-05,0.00014,0.3301241397857666,0,0
9,2.4e-05,0.00014,0.3449726104736328,0,0
