Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.04689335823059082,100000,99999
1,2.8e-05,0.00014,0.04677414894104004,100000,99999
2,2.8e-05,0.00014,0.04687380790710449,100000,99999
3,2.8e-05,0.00014,0.03165626525878906,100000,99999
4,2.8e-05,0.00014,0.04687666893005371,100000,99999
5,2.8e-05,0.00014,0.03165102005004883,100000,99999
6,2.8e-05,0.00014,0.046875,100000,99999
7,2.8e-05,0.00014,0.03163409233093262,100000,99999
8,2.8e-05,0.00014,0.04687380790710449,100000,99999
9,2.8e-05,0.00014,0.04728865623474121,100000,99999
