Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.015639305114746094,657723,29711
1,2.8e-05,0.00014,0.010511398315429688,657723,29711
2,2.8e-05,0.00014,0.01564621925354004,657723,29711
3,2.8e-05,0.00014,0.015626907348632812,657723,29711
4,2.8e-05,0.00014,0.015625953674316406,657723,29711
5,2.8e-05,0.00014,0.0156252384185791,657723,29711
6,2.8e-05,0.00014,0.01603102684020996,657723,29711
7,2.8e-05,0.00014,0.01564788818359375,657723,29711
8,2.8e-05,0.00014,0.015618562698364258,657723,29711
9,2.8e-05,0.00014,0.015629053115844727,657723,29711
