Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.3418691158294678,657723,899999
1,2.8e-05,0.00014,0.3449864387512207,657723,899999
2,2.8e-05,0.00014,0.3137083053588867,657723,899999
3,2.8e-05,0.00014,0.3137807846069336,657723,899999
4,2.8e-05,0.00014,0.34537267684936523,657723,899999
5,2.8e-05,0.00014,0.3766813278198242,657723,899999
6,2.8e-05,0.00014,0.3293442726135254,657723,899999
7,2.8e-05,0.00014,0.29750847816467285,657723,899999
8,2.8e-05,0.00014,0.31375670433044434,657723,899999
9,2.8e-05,0.00014,0.3297412395477295,657723,899999
