Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.0,0.00014,1.6950104236602783,5809,-1
1,0.0,0.00014,1.6948609352111816,5809,-1
2,0.0,0.00014,1.7741000652313232,5809,-1
3,0.0,0.00014,1.64809250831604,5809,-1
4,0.0,0.00014,1.6987814903259277,5809,-1
5,0.0,0.00014,1.6938841342926025,5809,-1
6,0.0,0.00014,1.7739019393920898,5809,-1
7,0.0,0.00014,1.7117204666137695,5809,-1
8,0.0,0.00014,1.8373098373413086,5809,-1
9,0.0,0.00014,1.740705966949463,5809,-1
