Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.01917576789855957,50000,49999
1,2.8e-05,0.00014,0.015629053115844727,50000,49999
2,2.8e-05,0.00014,0.015631914138793945,50000,49999
3,2.8e-05,0.00014,0.015644311904907227,50000,49999
4,2.8e-05,0.00014,0.01602935791015625,50000,49999
5,2.8e-05,0.00014,0.01564335823059082,50000,49999
6,2.8e-05,0.00014,0.01563715934753418,50000,49999
7,2.8e-05,0.00014,0.015595197677612305,50000,49999
8,2.8e-05,0.00014,0.022135257720947266,50000,49999
9,2.8e-05,0.00014,0.015635967254638672,50000,49999
